param,median,mean,q2.5,q97.5,dist
meanlog,2.094355,2.093961605,1.8130505,2.378432,Lognormal
sdlog,0.842622,0.85413953525,0.669893,1.094098,Lognormal
shape,1.761035,1.78418988225,1.14655225,2.52204125,Gamma
rate,0.158609,0.16092368995,0.0960115775,0.237182325,Gamma
