Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,IP_sampled_mean,IP_sampled_lowerCI,IP_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,N_iterations_in_summary
1,5.342391214168361,0.6592923212548009,32.71451209364498,0.3711247915654195,0.012714445875236477,0.9,798.3978733406025,3.9241097099878663,4576.668449651479,0.4746002461272819,0,1,0.5639425933638085,0,1,0.26619314743306194,0,1,0.2745682458657614,0,0.9,0.1359238128752912,0,0.625,5000
2,5.889104739221219,0.6481889446672646,34.48740122528285,0.37012833292010294,0.011562837298769734,0.9,812.8645064154384,3.941406935055484,4642.281299800551,0.47841758290728875,0,1,0.5570304518366052,0,1,0.2662699299977627,0,1,0.27189346984370977,0,0.9,0.13397280419614788,0,0.625,5000
3,5.661388568106651,0.6547106055904489,33.624914318411534,0.3719780636031319,0.012807689261222846,0.9,828.0622633247576,3.9441494223697986,4582.980538632504,0.46921607820971606,0,1,0.5610377274832152,0,1,0.27545008266329457,0,1,0.26160460487740667,0,0.9,0.13680757988227815,0,0.625,5000
4,5.546671039280189,0.6526423742219438,33.24538520274489,0.36962459051326013,0.012851529717556438,0.9,782.25039503384,3.9234436738384475,4499.613361593128,0.4697159667705875,0,1,0.5640117241530399,0,1,0.2625671851952656,0,1,0.2789591288725034,0,0.9,0.13907082030542556,0,0.625,5000
