Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,SI_Clust_sampled_mean,SI_Clust_sampled_lowerCI,SI_Clust_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,k_sampled_mean,k_sampled_lowerCI,k_sampled_upperCI,IP_sampled_mean,IP_sampled_lowerCI,IP_sampled_upperCI,LP_sampled_mean,LP_sampled_lowerCI,LP_sampled_upperCI,InfP_sampled_mean,InfP_sampled_lowerCI,InfP_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,N_iterations_in_summary
1,3.0143594068259594,0.6850641227121503,10.427865667419942,8.010440628291574,2.572041410286988,16.45557271160817,0.23353416318162915,0.0034842995422157165,0.6754640309766189,3.814259591130815,0.032780194216275496,14.513392605354827,5.448686714437907,1.4691288069056339,9.200841156832354,5.397393613614404,2.0854444799052807,9.59452750589221,6.778039083686639,1.869833514713655,21.152975438268967,0.6528666666666667,0,1,0.3471333333333334,0,1,0,0,0,0.4994,0,1,0,0,0,500
2,3.0981086843193117,0.8859241388739549,11.142752771686187,7.772026863244066,2.529800381202354,16.37231065612214,0.21256932772483275,0.003410934146452208,0.683680481984494,1.3236948135901934,0.019378581700228624,4.8761451867002386,5.384860428287402,1.4561822840706875,8.77528055056772,5.203453965076285,2.0440889886757114,9.490742466348202,6.720004696312502,1.9010440761842862,20.86222313333476,0.6645333333333332,0,1,0.33546666666666664,0,1,0,0,0,0.4707999999999999,0,1,0,0,0,500
3,3.020545209143715,0.6627343912425839,10.490881124157893,7.731693634848851,2.5805270540277605,15.653980724347965,0.21139709861999184,0.003506595576260301,0.6661802920214035,2.3783756141832515,0.021877429216795776,5.226711493700828,5.393858792017734,1.4649322511683662,9.520352902642628,5.197082565336004,2.055423000499553,9.581063311393107,6.850968342634549,1.7938351672769142,20.963500134544418,0.6660999999999999,0,1,0.33390000000000003,0,1,0,0,0,0.4788666666666666,0,1,0,0,0,500
4,3.1710299834872204,0.6551622166750618,10.395138985748488,8.055248727189571,2.54969390994663,15.686209875132032,0.22284477730022698,0.0034355441114830325,0.649121664657367,2.222878125855129,0.023389957548391453,5.504260635282854,5.602804176712893,1.4653538455069113,10.138703766763633,5.328246941196685,2.068972155736788,9.658535190112904,7.24034376628778,1.8639900347912501,20.122799661145983,0.6613333333333332,0,1,0.3386666666666666,0,1,0,0,0,0.5153666666666665,0,1,0,0,0,500
