"K","Average_Silhouette_Width"
2,0.271816601704893
3,0.487215035001235
4,0.579495142060253
5,0.573022953829883
6,0.541867439689327
7,0.487600000827841
8,0.361959380283724
9,0.19554618583928
10,NA
