Consensus_Cluster,R0_sampled_mean_val,R0_sampled_lower_ci,R0_sampled_upper_ci,R0_sampled_median_val,R0_sampled_sd_val,R0_sampled_n_mcmc_samples_in_calc,SI_Clust_sampled_mean_val,SI_Clust_sampled_lower_ci,SI_Clust_sampled_upper_ci,SI_Clust_sampled_median_val,SI_Clust_sampled_sd_val,SI_Clust_sampled_n_mcmc_samples_in_calc,CFR_sampled_mean_val,CFR_sampled_lower_ci,CFR_sampled_upper_ci,CFR_sampled_median_val,CFR_sampled_sd_val,CFR_sampled_n_mcmc_samples_in_calc,Presymp_Proportion_sampled_mean_val,Presymp_Proportion_sampled_lower_ci,Presymp_Proportion_sampled_upper_ci,Presymp_Proportion_sampled_median_val,Presymp_Proportion_sampled_sd_val,Presymp_Proportion_sampled_n_mcmc_samples_in_calc,k_sampled_mean_val,k_sampled_lower_ci,k_sampled_upper_ci,k_sampled_median_val,k_sampled_sd_val,k_sampled_n_mcmc_samples_in_calc,IP_sampled_mean_val,IP_sampled_lower_ci,IP_sampled_upper_ci,IP_sampled_median_val,IP_sampled_sd_val,IP_sampled_n_mcmc_samples_in_calc,LP_sampled_mean_val,LP_sampled_lower_ci,LP_sampled_upper_ci,LP_sampled_median_val,LP_sampled_sd_val,LP_sampled_n_mcmc_samples_in_calc,InfP_sampled_mean_val,InfP_sampled_lower_ci,InfP_sampled_upper_ci,InfP_sampled_median_val,InfP_sampled_sd_val,InfP_sampled_n_mcmc_samples_in_calc,Route_resp_mean_val,Route_resp_lower_ci,Route_resp_upper_ci,Route_resp_median_val,Route_resp_sd_val,Route_resp_n_mcmc_samples_in_calc,Route_direct_mean_val,Route_direct_lower_ci,Route_direct_upper_ci,Route_direct_median_val,Route_direct_sd_val,Route_direct_n_mcmc_samples_in_calc,Route_sexual_mean_val,Route_sexual_lower_ci,Route_sexual_upper_ci,Route_sexual_median_val,Route_sexual_sd_val,Route_sexual_n_mcmc_samples_in_calc,Route_animal_mean_val,Route_animal_lower_ci,Route_animal_upper_ci,Route_animal_median_val,Route_animal_sd_val,Route_animal_n_mcmc_samples_in_calc,Route_vector_mean_val,Route_vector_lower_ci,Route_vector_upper_ci,Route_vector_median_val,Route_vector_sd_val,Route_vector_n_mcmc_samples_in_calc
1,5.832687576650769,2.5202753169054835,11.212282725420895,5.149240177646763,2.8621606659321235,1500,3.9675786391849917,3.0141182119989742,5.047088558410322,3.890253729439136,0.6824204382380097,1500,0.01588849029102991,3.86290375343539e-6,0.0407032909181075,0.012182476156044546,0.012674538234634795,1500,0.8059740000000001,0.321,1,0.9669,0.2574102439034703,1500,0.4467627115402434,0.09893927238294084,0.809535524264603,0.4558709582495877,0.1977488866486634,1500,4.659442037564817,3.336922218251418,6.524904415861725,4.640059143239002,0.992412233438619,1500,4.185268736741084,2.5227809102652454,5.611854297756812,4.4293015210779005,1.129960045968485,1500,6.107318901087482,3.1399765704292735,10.0468918334191,6.295556593889216,2.213012797559721,1500,1,1,1,1,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500
2,1.8585849887109884,0.37461078246962637,4.049818253587529,1.6668691379290972,0.9523601647251723,1000,10.341359677200126,0.9556018159240196,16.596632707875404,13.48192626736597,5.465239339651019,1000,0.6028185285699353,0.41360464202360187,0.7678879845405796,0.5945880391467985,0.08074454097850413,1000,0.008565999999999999,0,0.0368,2e-4,0.014460360508162441,1000,0.5842019803530127,0.18763180610688707,1.0908834741152966,0.5840516186705078,0.19508577225430826,1000,7.5028476645380895,4.418786300761933,9.31546460568365,7.989339262704403,1.409991941015202,1000,8.715290254465916,6.078877593601516,12.27,8.130516991654826,2.3383747878215897,1000,5.054665022167299,3.086381471962693,8.3825,4.3698395988512875,1.724001724958934,1000,0,0,0,0,0,1000,1,1,1,1,0,1000,0,0,0,0,0,1000,1,1,1,1,0,1000,0,0,0,0,0,1000
3,1.8779967974979372,1.4318178193662177,2.8010078118063517,1.7267152751803079,0.3994489123846338,1000,2.6977328395731344,2.1180831047474906,3.350837067706627,2.6889184603218172,0.31434947370732197,1000,0.011896315104035654,2e-4,0.03011724404359172,0.005764798936245449,0.012062737502107115,1000,0.07226840000000002,0,0.62547,0,0.17217519176146787,1000,4.420421702141902,0.6458742602748159,10.2153145625825,3.233042459106256,3.4960470617493895,1000,1.5001632198575494,1.34,1.861709702110758,1.34,0.18322169289755685,1000,2.1446184958892984,1.5144311785515765,3.1198938061244745,1.8482647125219551,0.5728222609017289,1000,2.1596808734321113,0.5576750336655806,4.5554853429745386,1.8511964077126646,1.2710442913192082,1000,1,1,1,1,0,1000,0,0,0,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,1000
4,1.425088012165221,0.4546676937582226,3.0678423344583887,1.360951152474218,0.7668438500126327,500,12.40544782050173,7.564902024752605,15.839115060492045,12.691131660981405,2.073426699197353,500,0.3862534888888938,0.26660777533535374,0.5359177518817062,0.3827807688613829,0.06924725326124473,500,0.0741976,0,0.510955,0.001,0.15446818661326736,500,5.56613487825087,1e-5,40.501954915601424,0.037118269220705796,32.37258866306085,500,6.681705205494261,5.752138262374162,7.932186895988213,6.647898938072544,0.5253824880218881,500,7,7,7,7,0,500,16.263797337526363,9.666294310169334,23.92052436097297,16.110115859518714,3.8056826077202244,500,1,1,1,1,0,500,0,0,0,0,0,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500
5,1.2825344975910802,0.8,1.840783026773107,1.2950564824843522,0.35053742783799596,500,9.663500145074295,7.420151431862473,14.097266766032032,9.080899117578173,1.783911220900006,500,0.05355451568067603,0.02272413127496877,0.08103925291318934,0.05352406095516805,0.01553028018683458,500,0.42187600000000003,0,1,0.39239999999999997,0.3678108390063859,500,0.4761317222656956,0.22923298561644823,1.0533740309820994,0.414020098509188,0.2161694525337839,500,8.532592375691051,6.448550358314877,10.851345014826467,8.434879338703622,1.120914515181452,500,3,3,3,3,0,500,6.382856591997832,3.4308781244987285,10,6.335464255630354,1.6337377459246862,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500
6,1.812924911431062,1.0663860489509818,2.5455795970688024,1.8272125202242673,0.3885080353010731,500,7.9189734049799165,1.3455557559824989,19.852857764812896,6.88312358034511,4.8857019404912565,500,0.09577310209936152,0.08923074615733875,0.1021698140482688,0.09588523107276217,0.003389319668526208,500,0.0594948,0.0044,0.1152,0.1005,0.05078689703832634,500,0.20645698312224706,0.12915454914533736,0.3222143124409953,0.19969333383681606,0.04996968326945092,500,4.304081466074565,3.7658894086597097,4.919113877159571,4.288186804337357,0.31214806585927607,500,6.07806,5,6.81,6.1033333333333335,0.45006532685969936,500,8.215578282925016,4.173187358966612,12.404,8.151273476915446,2.1979807781582266,500,1,1,1,1,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500
