Pathogen_Name,Modal_Cluster,Modal_Cluster_Count
COVID-19_D,1,1280
COVID-19_O,1,1281
COVID-19_WT,1,1297
Ebola,4,1268
H1N1_09,4,1276
H1N1_18,4,1269
MERS,1,1294
Marburg,2,1268
Mpox,2,1333
SARS,2,1275
