"","Pathogen_Name","Consensus_Cluster"
"COVID-19_D","COVID-19_D",1
"COVID-19_O","COVID-19_O",1
"COVID-19_WT","COVID-19_WT",1
"Ebola","Ebola",2
"H1N1_09","H1N1_09",3
"H1N1_18","H1N1_18",3
"Marburg","Marburg",2
"MERS","MERS",4
"Mpox","Mpox",5
"SARS","SARS",6
