Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,SI_Clust_sampled_mean,SI_Clust_sampled_lowerCI,SI_Clust_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,Presymp_Proportion_sampled_mean,Presymp_Proportion_sampled_lowerCI,Presymp_Proportion_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,N_iterations_in_summary
1,2.9211654636388453,0,12.966374913517946,8.27146691428016,2.308635229956701,24.43844369230085,0.2590716195782063,2.606073048086792e-4,1,0.37415686038744156,0,0.999155,0.5820333333333334,0,1,0.41796666666666665,0,1,0,0,0,0.5497333333333333,0,1,0.07836666666666665,0,0.5,500
2,3.241826096889797,0,13.380656306051439,8.186167329766263,2.2774891910589696,22.66456367006672,0.25092174958438224,4.7236846266771157e-4,1,0.4024085370741483,0,1,0.5995333333333333,0,1,0.4004666666666667,0,1,0,0,0,0.5338333333333334,0,1,0.06993333333333333,0,0.5,500
3,2.9515053100378497,0,12.706479314850537,8.254886263465753,1.921494467806415,23.571552102756172,0.25759674872621396,3.196079633368005e-4,1,0.4069341240981241,0,0.9998,0.5570619047619049,0,1,0.4429380952380952,0,1,0,0,0,0.5742619047619048,0,1,0.07760000000000004,0,0.5,500
4,2.9301074117198014,0,12.989380598430072,8.419831644959194,2.270774620052718,24.349276191754733,0.2733142922328161,7.241416535538065e-4,0.9687526411946483,0.34848772040543124,0,0.9992,0.5721809523809525,0,1,0.42781904761904754,0,1,0,0,0,0.5571714285714287,0,1,0.06280000000000001,0,0.5,500
5,2.813755353839784,0,12.571897811085494,8.755055922795394,0.70264327615895406,23.365501227360113,0.27839878918759803,0,1,0.3525187766008207,0,0.9994,0.5200285714285714,0,1,0.47997142857142866,0,1,0,0,0,0.6123761904761904,0,1,0.08946666666666672,0,0.7624999999999886,500
6,2.920158054990911,0,13.935387282928684,8.26469559551725,2.5071757131238224,21.362617396261037,0.29003926412553455,0,1,0.33867527817539844,0,0.9994,0.5875261904761904,0,1,0.4124738095238097,0,1,0,0,0,0.5741523809523811,0,1,0.05586666666666664,0,0.5,500
