"","Pathogen_Name","Consensus_Cluster"
"CCHF","CCHF",1
"COVID-19_A","COVID-19_A",2
"COVID-19_D","COVID-19_D",2
"COVID-19_O","COVID-19_O",2
"COVID-19_WT","COVID-19_WT",2
"Ebola","Ebola",1
"H1N1_09","H1N1_09",3
"H1N1_18","H1N1_18",3
"H2N2","H2N2",3
"H3N2","H3N2",3
"H5N1","H5N1",1
"Lassa","Lassa",1
"Marburg","Marburg",1
"MERS","MERS",1
"Mpox","Mpox",1
"Nipah","Nipah",1
"SARS","SARS",3
"Zika","Zika",1
