Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,SI_Clust_sampled_mean,SI_Clust_sampled_lowerCI,SI_Clust_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,k_sampled_mean,k_sampled_lowerCI,k_sampled_upperCI,IP_sampled_mean,IP_sampled_lowerCI,IP_sampled_upperCI,LP_sampled_mean,LP_sampled_lowerCI,LP_sampled_upperCI,InfP_sampled_mean,InfP_sampled_lowerCI,InfP_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,N_iterations_in_summary
1,2.999184498240445,0.6954797610102851,10.48942104353228,7.863674103648135,2.5701721160066655,15.970335251717513,0.21491230336964592,0.003487353799117339,0.6693753519780782,2.333226670974055,0.025252430756512883,5.7289620734471525,5.452614812935638,1.4515765471542506,9.47337000711585,5.254004467223099,2.0442362337643,9.517931080479284,6.981052284196699,1.8490754670921463,21.30765394241485,0.6670628571428572,0,1,0.3329371428571427,0,1,0,0,0,0.48547380952380914,0,1,0,0,0,5000
2,3.0720094809831404,0.7142725307352531,10.517821294796788,7.826346993789002,2.5557036384855216,15.907589531783964,0.21889156239088103,0.0034922535298546466,0.6670653292231976,1.9393247475755644,0.02589527051493481,5.229520887500169,5.445276234241003,1.4532711060220418,9.468433143684447,5.273188716124737,2.05421519528294,9.502664125635887,6.704335257468225,1.8450004749121631,20.791638541815562,0.6518733333333332,0,1,0.3481266666666668,0,1,0,0,0,0.4838133333333332,0,1,0,0,0,5000
3,2.993657801428464,0.676555420281384,10.459682178638579,7.8967200012356935,2.567787716501919,15.9197252696147,0.21963575009600034,0.0035030233037275523,0.6678033855195769,1.843017185556377,0.025381856752074633,5.43582690036251,5.495061564624846,1.4545637554216817,9.471543148264928,5.285581551116988,2.05627704348693,9.518482435384508,7.00444590999295,1.8333005450612305,21.063804696524233,0.6564700000000001,0,1,0.34353,0,1,0,0,0,0.4982133333333333,0,1,0,0,0,5000
4,3.073333639459774,0.6773246046045758,10.530715358972092,7.6924111631238095,2.539803034534697,15.895001899022805,0.21322991272203035,0.0034505441921033565,0.6688498571557022,2.511871664605374,0.025806548529616086,5.500483162910718,5.368124330746886,1.4480363683229553,9.365192248325862,5.20227216058252,2.048010525838988,9.577056169318265,6.7572554409150785,1.8071199013774428,20.944041005510467,0.667913333333333,0,1,0.3320866666666668,0,1,0,0,0,0.47646333333333335,0,1,0,0,0,5000
