Consensus_Cluster,R0_sampled_mean_val,R0_sampled_lower_ci,R0_sampled_upper_ci,R0_sampled_median_val,R0_sampled_sd_val,R0_sampled_n_mcmc_samples_in_calc,SI_Clust_sampled_mean_val,SI_Clust_sampled_lower_ci,SI_Clust_sampled_upper_ci,SI_Clust_sampled_median_val,SI_Clust_sampled_sd_val,SI_Clust_sampled_n_mcmc_samples_in_calc,CFR_sampled_mean_val,CFR_sampled_lower_ci,CFR_sampled_upper_ci,CFR_sampled_median_val,CFR_sampled_sd_val,CFR_sampled_n_mcmc_samples_in_calc,Presymp_Proportion_sampled_mean_val,Presymp_Proportion_sampled_lower_ci,Presymp_Proportion_sampled_upper_ci,Presymp_Proportion_sampled_median_val,Presymp_Proportion_sampled_sd_val,Presymp_Proportion_sampled_n_mcmc_samples_in_calc,Route_resp_mean_val,Route_resp_lower_ci,Route_resp_upper_ci,Route_resp_median_val,Route_resp_sd_val,Route_resp_n_mcmc_samples_in_calc,Route_direct_mean_val,Route_direct_lower_ci,Route_direct_upper_ci,Route_direct_median_val,Route_direct_sd_val,Route_direct_n_mcmc_samples_in_calc,Route_sexual_mean_val,Route_sexual_lower_ci,Route_sexual_upper_ci,Route_sexual_median_val,Route_sexual_sd_val,Route_sexual_n_mcmc_samples_in_calc,Route_animal_mean_val,Route_animal_lower_ci,Route_animal_upper_ci,Route_animal_median_val,Route_animal_sd_val,Route_animal_n_mcmc_samples_in_calc,Route_vector_mean_val,Route_vector_lower_ci,Route_vector_upper_ci,Route_vector_median_val,Route_vector_sd_val,Route_vector_n_mcmc_samples_in_calc
1,0.6606794048672158,1e-5,2.907352435395852,0.08309048136355127,2.0487980841424736,20000,11.229817174514812,4.539515023997345,23.493075925132803,10.753018116122636,4.489107581448929,20000,0.15595572511784508,5.199595381917968e-18,0.36963726723921764,0.0965542939890625,0.14096768903382464,20000,0.27344693,0,0.9930049999999996,0.0024,0.3440620971800008,20000,0,0,0,0,0,20000,0.75,0,1,1,0.433023527615733,20000,0.25,0,1,0,0.433023527615733,20000,0.75,0,1,1,0.433023527615733,20000,0.5,0,1,0.5,0.5000125004687695,20000
2,5.528944426539121,2.568632175363564,10.946526857569111,4.598731653582918,2.563887224936707,20000,3.9609548642490533,3.0005708868127727,5.028464289955425,3.9021538829336326,0.6364234572404038,20000,0.0183244521260676,9.237124539048387e-6,0.038981240507620585,0.020575042582243838,0.011825912263437063,20000,0.85073664,0.3236,1,0.9944,0.2392687716747962,20000,1,1,1,1,0,20000,0,0,0,0,0,20000,0,0,0,0,0,20000,0,0,0,0,0,20000,0,0,0,0,0,20000
3,1.209652501389396,0.042065938899496606,3.6043700076823955,0.9575616120269339,0.9769716785679566,25000,10.997522873965375,3.050790183757374,16.283856846555715,12.552858638176833,3.940243122991611,25000,0.5595667319121232,0.3097356749105655,0.7683890110874176,0.578,0.11821761108167239,25000,0.03714127199999999,0,0.4148,6e-4,0.09426705781634497,25000,0.4,0,1,0,0.48990774680947324,25000,0.6,0,1,1,0.48990774680947324,25000,0,0,0,0,0,25000,1,1,1,1,0,25000,0,0,0,0,0,25000
4,1.7783741919801748,1.3907357541641967,2.648980479943393,1.6766702509325557,0.32198255068964526,25000,3.899172597034848,2.1617450054532403,12.902071514112794,2.988255449619288,2.836643253965985,25000,0.031904409467630984,2e-4,0.09948640508128431,0.02,0.03304900993813111,25000,0.054931680000000135,0,0.6208,0,0.1484378494784237,25000,1,1,1,1,0,25000,0,0,0,0,0,25000,0,0,0,0,0,25000,0,0,0,0,0,25000,0,0,0,0,0,25000
