"K","Average_Silhouette_Width"
2,0.420688451543661
3,0.611607732506103
4,0.726672929523455
5,0.680407958810073
6,0.655529677147315
7,0.622935793576524
8,0.591007157471213
9,0.484686995106323
10,0.410535695930984
