Pathogen_Name,Modal_Cluster,Modal_Cluster_Count
CCHF,2,98
COVID-19_A,2,90
COVID-19_D,1,91
COVID-19_O,5,96
COVID-19_WT,1,97
Ebola,2,103
H1N1_09,1,91
H1N1_18,1,94
H2N2,1,94
H3N2,1,92
H5N1,4,98
Lassa,6,94
MERS,2,95
Marburg,2,94
Mpox,5,89
Nipah,2,105
SARS,1,89
Zika,3,93
