"","Pathogen_Name","Consensus_Cluster"
"CCHF","CCHF",1
"COVID-19_A","COVID-19_A",2
"COVID-19_D","COVID-19_D",2
"COVID-19_O","COVID-19_O",2
"COVID-19_WT","COVID-19_WT",2
"Ebola","Ebola",3
"H1N1_09","H1N1_09",4
"H1N1_18","H1N1_18",4
"H2N2","H2N2",4
"H3N2","H3N2",4
"H5N1","H5N1",3
"Lassa","Lassa",1
"Marburg","Marburg",3
"MERS","MERS",3
"Mpox","Mpox",1
"Nipah","Nipah",3
"SARS","SARS",4
