Consensus_Cluster,R0_sampled_mean_val,R0_sampled_lower_ci,R0_sampled_upper_ci,R0_sampled_median_val,R0_sampled_sd_val,R0_sampled_n_mcmc_samples_in_calc,SI_Clust_sampled_mean_val,SI_Clust_sampled_lower_ci,SI_Clust_sampled_upper_ci,SI_Clust_sampled_median_val,SI_Clust_sampled_sd_val,SI_Clust_sampled_n_mcmc_samples_in_calc,CFR_sampled_mean_val,CFR_sampled_lower_ci,CFR_sampled_upper_ci,CFR_sampled_median_val,CFR_sampled_sd_val,CFR_sampled_n_mcmc_samples_in_calc,Presymp_Proportion_sampled_mean_val,Presymp_Proportion_sampled_lower_ci,Presymp_Proportion_sampled_upper_ci,Presymp_Proportion_sampled_median_val,Presymp_Proportion_sampled_sd_val,Presymp_Proportion_sampled_n_mcmc_samples_in_calc,Route_resp_mean_val,Route_resp_lower_ci,Route_resp_upper_ci,Route_resp_median_val,Route_resp_sd_val,Route_resp_n_mcmc_samples_in_calc,Route_direct_mean_val,Route_direct_lower_ci,Route_direct_upper_ci,Route_direct_median_val,Route_direct_sd_val,Route_direct_n_mcmc_samples_in_calc,Route_sexual_mean_val,Route_sexual_lower_ci,Route_sexual_upper_ci,Route_sexual_median_val,Route_sexual_sd_val,Route_sexual_n_mcmc_samples_in_calc,Route_animal_mean_val,Route_animal_lower_ci,Route_animal_upper_ci,Route_animal_median_val,Route_animal_sd_val,Route_animal_n_mcmc_samples_in_calc,Route_vector_mean_val,Route_vector_lower_ci,Route_vector_upper_ci,Route_vector_median_val,Route_vector_sd_val,Route_vector_n_mcmc_samples_in_calc
1,1.0944011239909777,0.0074520527162963805,3.0232258595015304,0.8,1.4161779137210329,2500,11.418942970320632,3.587707103881753,19.68736805580408,12.414979711485705,4.168937326229632,2500,0.3997768796205914,4.026648897240946e-4,0.8084453499070582,0.5636617974816172,0.26063822584330026,2500,0.08140968,0,0.992,0.0016,0.21512426564701273,2500,0,0,0,0,0,2500,1,1,1,1,0,2500,0,0,0,0,0,2500,1,1,1,1,0,2500,0.2,0,1,0,0.4000800240080062,2500
2,5.507382236175124,1.8979912382119464,10.884624007168705,4.59095947637565,2.591348060301975,2000,3.9608391506740084,2.9757671822926586,5.026867889708552,4.065878756922202,0.6768227772846339,2000,0.017515411028335693,7.877303006766763e-6,0.03714385393107612,0.020642262249181018,0.011725973097102669,2000,0.8476797,0.3226,1,0.9946,0.24199176001233266,2000,1,1,1,1,0,2000,0,0,0,0,0,2000,0,0,0,0,0,2000,0,0,0,0,0,2000,0,0,0,0,0,2000
3,1.5055771082597442,0,3.30737492633842,1.6203113379288026,0.8092153451649263,3000,4.578909235232427,1.625628537007098,13.556610455198562,3.4485434934546815,3.124926017856379,3000,0.12853203213971387,1.8238093897859269e-4,0.8602667232319173,0.02439161703474742,0.23613912074801544,3000,0.05985033333333335,0,0.32241000000000003,0.001,0.14269507153730376,3000,1,1,1,1,0,3000,0,0,0,0,0,3000,0,0,0,0,0,3000,0.16666666666666666,0,1,0,0.37274012478190044,3000,0,0,0,0,0,3000
4,2.014631063243432,0.047383626667628936,14.031807975705016,0.7502722475829042,4.1563659780723015,500,9.688779760295825,0.63612000539541,34.45378851000835,7.8,7.797029953855133,500,11.51496686119301,0.27537469591182023,35.1,0.330208186485518,16.2698892651943,500,0.7088332,0.620885,0.7913049999999999,0.7706999999999999,0.07520376659969609,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500
5,1.3188960326617478,0.054752030898235673,5.662559546803768,0.6863405127395916,1.7353461902675202,500,12.11804379453925,3.888044639306658,18.982054701406142,12.68913617795043,3.9848575029562854,500,0.4014016796499426,0.29453550667379313,0.4814957276618207,0.4284495038635162,0.06358312634694671,500,0.07916720000000002,0,0.512365,0.0012,0.1628269747048785,500,1,1,1,1,0,500,0,0,0,0,0,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500
6,0.1135797102248336,0.010150906479149482,0.4432060790621632,0.06995127616834428,0.1609318923710372,500,11.952025263696482,9.74464150695924,14.474614760889423,11.886872033477163,1.2630636232343164,500,1.7953224204116767e-4,6.598302502297489e-12,0.0013841781276916051,1.7449814105815166e-5,4.142892247743323e-4,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500,1,1,1,1,0,500
