K,Average_Silhouette_Width
2,0.30847614503902293
3,0.4698234158767056
4,0.5002545245002961
5,0.5034338424291929
6,0.5624984549133097
7,0.5328167208322442
8,0.4853173090467166
9,0.4260262026668207
10,0.36614287399525475
