Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,SI_Clust_sampled_mean,SI_Clust_sampled_lowerCI,SI_Clust_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,Presymp_Proportion_sampled_mean,Presymp_Proportion_sampled_lowerCI,Presymp_Proportion_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,N_iterations_in_summary
1,2.550123721960647,0.029448824213869594,10.438871640049634,8.248765382975618,3.0067842559998255,22.98321325028209,1.5810434222855991,8.457447574814822e-7,35.1,0.35676097142857144,0,0.9994000000000001,0.5436880952380952,0,1,0.3587404761904761,0,1,0.09757142857142866,0,1,0.4570214285714286,0,1,0.15354285714285723,0,1,500
2,2.7203100836181093,0.029379110806882512,10.692844140546525,8.171082666920269,2.837534639785634,19.365303838198102,1.9441008008316867,1.1638509598863768e-5,35.1,0.34911338571428574,0,0.9999175,0.5285238095238094,0,1,0.3932047619047618,0,1,0.07827142857142859,0,1,0.48936190476190483,0,1,0.13825714285714288,0,1,500
3,2.704634063191954,0.025476892863924645,10.63198186063628,8.15509147808175,2.9963043094701165,18.022895599327427,1.995521374822467,1.6266478030997237e-7,35.1,0.35964922476190475,0,0.9997525,0.538204761904762,0,1,0.3513261904761904,0,1,0.11046904761904763,0,1,0.45798571428571433,0,1,0.15709047619047622,0,1,500
4,2.6610680268901996,0.0235592744900389,10.876658638667028,8.25392778872572,2.772312965184054,21.180741260278545,1.7894705129541146,9.255158981227114e-6,35.1,0.3468420538095238,0,0.9998,0.5343023809523809,0,1,0.35099285714285716,0,1,0.11470476190476185,0,1,0.4682809523809524,0,1,0.16672380952380955,0,1,500
5,3.0089231148880597,0.02919913866812298,11.063573212488286,8.098923149726705,2.815257378295241,19.670321356606756,2.4155065244224394,5.145624188235921e-6,35.1,0.3789865061904762,0,0.9998,0.5099023809523808,0,1,0.39076190476190475,0,1,0.09933571428571425,0,1,0.480895238095238,0,1,0.15147142857142853,0,1,500
6,3.1232613743901005,0.027108946778429264,11.209767716563693,8.155900225641549,2.8067316473017234,20.22250386839287,2.6102555813891875,1.1832291993708285e-7,35.1,0.4027583861904762,0,0.9998,0.5258666666666667,0,1,0.3721666666666666,0,1,0.10196666666666662,0,1,0.4554666666666667,0,1,0.14966666666666675,0,1,500
