Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,SI_Clust_sampled_mean,SI_Clust_sampled_lowerCI,SI_Clust_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,Presymp_Proportion_sampled_mean,Presymp_Proportion_sampled_lowerCI,Presymp_Proportion_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,N_iterations_in_summary
1,2.711488816065037,0,14.02306176568544,8.68270645257722,2.401659343847954,23.888237768588404,0.20026750438539753,1.2924612389641569e-4,0.6993965112922863,0.35742085714285715,0,0.9986666666666667,0.5120476190476191,0,1,0.39475238095238085,0,1,0.09319999999999985,0,1,0.4827523809523809,0,1,0.1466333333333334,0,1,500
2,2.587635155545287,0.002886217784273619,12.94428555844394,8.719547623456819,2.659646480235417,24.311910827511646,0.21288777140543927,1.143773713185252e-4,0.7124613586939336,0.3615318,0,0.9985249999999999,0.5425,0,1,0.3713666666666666,0,1,0.08613333333333334,0,1,0.49989999999999996,0,1,0.14136666666666667,0,1,500
3,2.6822279058968266,0,13.137003437673389,8.3343998881602,2.259183115717777,23.894264966123483,0.19267832349878755,1.1547438125960823e-4,0.683573555952317,0.3546547523809524,0,0.998,0.5370285714285715,0,1,0.37490476190476185,0,1,0.08806666666666665,0,1,0.48397142857142844,0,1,0.14723333333333335,0,1,500
4,2.485121401662025,0,12.16373749978197,8.161176317637738,2.2548043826583486,21.0482491624118,0.20957915740468505,0,0.6923679856681757,0.35332034285714287,0,1,0.5525857142857145,0,1,0.3692904761904763,0,1,0.07812380952380954,0,1,0.5014238095238097,0,1,0.12395714285714285,0,1,500
5,2.686090366866539,0.015729857998040317,13.209360644893621,8.766869198531861,2.3213685168064875,25.206339249981752,0.19359095274752852,0,0.6915707970303356,0.3453088571428571,0,0.998,0.5195142857142856,0,1,0.36958571428571435,0,1,0.11090000000000003,0,1,0.4789238095238094,0,1,0.1900666666666667,0,1,500
6,2.7554389930051064,0,12.841565420655488,8.480108663454631,1.6263778327387697,25.880624614703095,0.19572107056048627,3.439990869601017e-4,0.6908192180754218,0.37701273333333335,0,0.998,0.5314,0,1,0.39271666666666666,0,1,0.07588333333333333,0,1,0.5115833333333333,0,1,0.14381666666666668,0,1,500
