Pathogen_Name,Modal_Cluster,Modal_Cluster_Count
COVID-19_D,2,135
COVID-19_O,3,135
COVID-19_WT,4,128
Ebola,4,131
H1N1_09,1,133
H1N1_18,1,133
MERS,1,139
Marburg,4,132
Mpox,4,131
SARS,4,126
