Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,SI_Clust_sampled_mean,SI_Clust_sampled_lowerCI,SI_Clust_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,IP_sampled_mean,IP_sampled_lowerCI,IP_sampled_upperCI,LP_sampled_mean,LP_sampled_lowerCI,LP_sampled_upperCI,InfP_sampled_mean,InfP_sampled_lowerCI,InfP_sampled_upperCI,k_sampled_mean,k_sampled_lowerCI,k_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,N_iterations_in_summary
1,3.0229024712400188,0.7476857459229196,10.44874845481367,7.273378922512267,2.4981396607659443,15.757038408546876,0.21008926775711434,0.0022529218389615935,0.6164701914836532,5.082194975848945,1.4517004380470526,8.663084363577713,5.110171383919463,1.9757790680623242,9.50748447469875,6.903971459782538,1.7499133673139382,21.586229632532287,1.72315857163944,0.02582852743200761,5.225669926187448,0.7035,0,1,0.2965,0,1,0,0,0,0.4435666666666667,0,1,0,0,0,500
2,3.2862626545828015,0.7463796698019896,11.062886879340681,7.268075557203291,2.5029489120991473,16.06907608344633,0.20148819927958822,0.00220619961662569,0.6187166143061383,5.149016672653149,1.4508989302429267,8.898016835300641,5.0821317053750565,1.9813084699555124,9.519085650085877,6.385462811737999,1.8111728227398145,20.83003203220928,1.34768894743814,0.031058009230790905,5.296523766212113,0.6799666666666666,0,1,0.32003333333333334,0,1,0,0,0,0.4293333333333334,0,1,0,0,0,500
3,3.3430690384610364,0.7010475437428487,11.195463365280895,7.22006143420633,2.5096795359822677,15.892179656843476,0.20462729715161523,0.0022232731932958724,0.6133011812249394,5.190302378237654,1.4520269281387805,9.066880086749968,5.127283233058131,2.022035663418606,9.408556267046098,6.963665577920565,1.8320729321052724,22.108583248539595,1.4285855278185429,0.024372627089563594,5.366535103805467,0.7030666666666667,0,1,0.2969333333333333,0,1,0,0,0,0.43600000000000005,0,1,0,0,0,500
4,3.0835363424246256,0.773235754667607,10.576517366761593,7.375077636821239,2.563486632191573,15.137874538922883,0.21650906048011254,0.0030247741307132493,0.6190278842753503,5.180442958215915,1.42433462134619,8.964515809483173,5.186556105860338,1.995707850557678,9.537223534370597,6.637875649205739,1.8871003395196837,20.795859808257404,1.6238463090406003,0.032770035266251565,5.15669482409257,0.6689666666666666,0,1,0.3310333333333334,0,1,0,0,0,0.4568666666666667,0,1,0,0,0,500
