Consensus_Cluster,R0_sampled_mean_val,R0_sampled_lower_ci,R0_sampled_upper_ci,R0_sampled_median_val,R0_sampled_sd_val,R0_sampled_n_mcmc_samples_in_calc,SI_Clust_sampled_mean_val,SI_Clust_sampled_lower_ci,SI_Clust_sampled_upper_ci,SI_Clust_sampled_median_val,SI_Clust_sampled_sd_val,SI_Clust_sampled_n_mcmc_samples_in_calc,CFR_sampled_mean_val,CFR_sampled_lower_ci,CFR_sampled_upper_ci,CFR_sampled_median_val,CFR_sampled_sd_val,CFR_sampled_n_mcmc_samples_in_calc,Presymp_Proportion_sampled_mean_val,Presymp_Proportion_sampled_lower_ci,Presymp_Proportion_sampled_upper_ci,Presymp_Proportion_sampled_median_val,Presymp_Proportion_sampled_sd_val,Presymp_Proportion_sampled_n_mcmc_samples_in_calc,Route_resp_mean_val,Route_resp_lower_ci,Route_resp_upper_ci,Route_resp_median_val,Route_resp_sd_val,Route_resp_n_mcmc_samples_in_calc,Route_direct_mean_val,Route_direct_lower_ci,Route_direct_upper_ci,Route_direct_median_val,Route_direct_sd_val,Route_direct_n_mcmc_samples_in_calc,Route_sexual_mean_val,Route_sexual_lower_ci,Route_sexual_upper_ci,Route_sexual_median_val,Route_sexual_sd_val,Route_sexual_n_mcmc_samples_in_calc,Route_animal_mean_val,Route_animal_lower_ci,Route_animal_upper_ci,Route_animal_median_val,Route_animal_sd_val,Route_animal_n_mcmc_samples_in_calc,Route_vector_mean_val,Route_vector_lower_ci,Route_vector_upper_ci,Route_vector_median_val,Route_vector_sd_val,Route_vector_n_mcmc_samples_in_calc
1,0.07180287897114614,0.004764872775901984,0.36860896259677195,0.033610440261604604,0.12420166467429959,10000,11.976463821556896,3.972381642986228,23.492763346004107,11.817085492549866,4.3986015210413205,10000,0.05858460378563478,1.5459141573776467e-10,0.1345795707215339,0.046632158326044545,0.05884340577966642,10000,0.1134619,0.0674,0.1618,0.1115,0.040128607587414704,10000,0,0,0,0,0,10000,0.5,0,1,0.5,0.5000250018751562,10000,0.5,0,1,0.5,0.5000250018751562,10000,0.5,0,1,0.5,0.5000250018751562,10000,1,1,1,1,0,10000
2,6.335906736000302,3.617176553544429,11.095525862385335,5.0712985783182525,2.366281923547875,15000,3.419828836719834,2.7981571291062344,4.187679699110511,3.3972607389403175,0.3430502755942752,15000,0.017719374629444118,0.0036106065302960763,0.03393710691194265,0.019025232612366827,0.008997151376792236,15000,0.8268671866666667,0.543,0.9878,0.942,0.1944018783893476,15000,1,1,1,1,0,15000,0,0,0,0,0,15000,0,0,0,0,0,15000,0,0,0,0,0,15000,0,0,0,0,0,15000
3,2.025818735887139,1.3845226186582231,3.2088722383126544,1.7353299645588023,0.5614590227001696,30000,4.374844729685214,2.7411899055428064,12.659614278737441,3.491992015511163,2.5716533634171403,30000,0.0313297378085547,1.7923449524709947e-4,0.10577155168475424,0.023062378174476872,0.030745292300516015,30000,0.15589180666666666,0.0548,0.5238049999999996,0.063,0.15700156115956806,30000,1,1,1,1,0,30000,0,0,0,0,0,30000,0,0,0,0,0,30000,0,0,0,0,0,30000,0,0,0,0,0,30000
4,0.937975533091034,0.1265856358204409,2.105021214586859,0.48224005751062377,0.770333495646171,15000,12.500332001825296,3.6787413443220127,17.611237535161766,13.171679449875455,3.701007859482066,15000,0.6132493511919253,0.5814692823904912,0.6445168398455107,0.6133463897209199,0.01604314107803434,15000,0.30139926666666667,0.1828,0.374,0.349,0.07866791954094021,15000,0,0,0,0,0,15000,1,1,1,1,0,15000,0,0,0,0,0,15000,1,1,1,1,0,15000,0,0,0,0,0,15000
5,0.5029684538848203,0.016436591400128153,1.2198783508241846,0.48769111232840534,0.42103810051181584,10000,9.695382887023076,2.3991922635506957,13.268313579635139,12.217329960157041,3.7420603384935247,10000,0.462799661368915,0.3662715602198175,0.5607702931882745,0.46278528729966817,0.07383910996656266,10000,0.1118714,0.0354,0.193,0.1086,0.07211611686350805,10000,1,1,1,1,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,1,1,1,1,0,10000,0,0,0,0,0,10000
6,1.9806195969536153,0.07407795002187617,7.748204060128854,1.7676412128612617,4.987189430862895,10000,10.132921830508336,0.9506276209879938,32.48451992578689,8.521403210620134,7.610309997212835,10000,0.1854689928375923,0.03043833559856342,0.35595547106114245,0.1721676892393454,0.1458873090695845,10000,0.65377926,0.6384,0.6696,0.6538,0.008006438918696419,10000,0,0,0,0,0,10000,1,1,1,1,0,10000,0,0,0,0,0,10000,1,1,1,1,0,10000,0,0,0,0,0,10000
