"","Pathogen_Name","Consensus_Cluster"
"Anthrax","Anthrax",1
"CCHF","CCHF",2
"Chikungunya","Chikungunya",2
"Cholera","Cholera",2
"COVID-19_A","COVID-19_A",3
"COVID-19_D","COVID-19_D",3
"COVID-19_O","COVID-19_O",4
"COVID-19_WT","COVID-19_WT",3
"Ebola","Ebola",1
"EVA71","EVA71",3
"H1N1_09","H1N1_09",3
"H1N1_18","H1N1_18",3
"H2N2","H2N2",3
"H3N2","H3N2",3
"H5N1","H5N1",1
"HIV","HIV",5
"hMPV","hMPV",3
"Lassa","Lassa",1
"Marburg","Marburg",1
"Measles","Measles",4
"MERS","MERS",1
"Mpox","Mpox",2
"Nipah","Nipah",1
"Norovirus","Norovirus",2
"Plague","Plague",6
"RVFV","RVFV",2
"SARS","SARS",3
"SFTS","SFTS",2
"Smallpox","Smallpox",6
"Zika","Zika",2
