K,Average_Silhouette_Width
2,0.363902159651859
3,0.519700693599555
4,0.6872155529923888
5,0.8192130531693506
6,0.8517716684524806
7,0.8238481405048872
8,0.7363376893470234
9,0.6571802994581207
10,0.6255223249454527
