Consensus_Cluster,R0_sampled_mean_val,R0_sampled_lower_ci,R0_sampled_upper_ci,R0_sampled_median_val,R0_sampled_sd_val,R0_sampled_n_mcmc_samples_in_calc,CFR_sampled_mean_val,CFR_sampled_lower_ci,CFR_sampled_upper_ci,CFR_sampled_median_val,CFR_sampled_sd_val,CFR_sampled_n_mcmc_samples_in_calc,IncubationPeriod_sampled_mean_val,IncubationPeriod_sampled_lower_ci,IncubationPeriod_sampled_upper_ci,IncubationPeriod_sampled_median_val,IncubationPeriod_sampled_sd_val,IncubationPeriod_sampled_n_mcmc_samples_in_calc,Route_resp_mean_val,Route_resp_lower_ci,Route_resp_upper_ci,Route_resp_median_val,Route_resp_sd_val,Route_resp_n_mcmc_samples_in_calc,Route_direct_mean_val,Route_direct_lower_ci,Route_direct_upper_ci,Route_direct_median_val,Route_direct_sd_val,Route_direct_n_mcmc_samples_in_calc,Route_sexual_mean_val,Route_sexual_lower_ci,Route_sexual_upper_ci,Route_sexual_median_val,Route_sexual_sd_val,Route_sexual_n_mcmc_samples_in_calc,Route_animal_mean_val,Route_animal_lower_ci,Route_animal_upper_ci,Route_animal_median_val,Route_animal_sd_val,Route_animal_n_mcmc_samples_in_calc,Route_vector_mean_val,Route_vector_lower_ci,Route_vector_upper_ci,Route_vector_median_val,Route_vector_sd_val,Route_vector_n_mcmc_samples_in_calc
1,0.8420173785595302,0,2.884038673001167,0.3888845565033757,2.3670953383266355,35000,0.5067424288495159,0.3170509146788707,0.638256963828364,0.5352778209230351,0.10942356693576916,35000,7.6945896616622,1.4108922564707362,20.387537952466587,6.651065803406388,4.999698785220056,35000,0.42857142857142855,0,1,0,0.4948787290520713,35000,0.7142857142857143,0,1,1,0.4517604052188149,35000,0,0,0,0,0,35000,1,1,1,1,0,35000,0,0,0,0,0,35000
2,0.7427108263803915,0,2.286512883856342,0.1256262422608614,0.9037677398234497,40000,0.07286192567550309,1.93665032706529e-8,0.2862703119836816,0.045,0.08780386826840852,40000,4.851433969970212,0.8357472511294982,12.53855067492997,4.099252307760495,3.7372805551864317,40000,0,0,0,0,0,40000,0.625,0,1,1,0.48412896992587423,40000,0.125,0,1,0,0.33072304794701124,40000,0.25,0,1,0,0.43301811465248247,40000,0.625,0,1,1,0.48412896992587423,40000
3,2.8681732954751467,1.2,7.195573760436727,2.2372958958448455,1.7298858414861522,50000,0.028973847815403,1.8651797073527426e-4,0.10161526532049377,0.0231445190997822,0.02464493186330922,50000,3.5470415731318763,0.9060749942757376,8.879638121797177,2.9128316483444894,2.4443159116902886,50000,1,1,1,1,0,50000,0.1,0,1,0,0.30000300004517216,50000,0,0,0,0,0,50000,0,0,0,0,0,50000,0,0,0,0,0,50000
4,13.132814035954793,5.4930056365104045,37.114644966434575,10.06243004214422,8.39578521687838,10000,0.010104211887544925,0.0032417507182064915,0.019529272216913193,0.009577431279787416,0.004415701912216802,10000,7.792542095522603,1.1345206361748859,18.59018203255424,7.388002531096912,5.27262724212947,10000,1,1,1,1,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000
5,2.4266443271371894,0.9849822956540933,4.992198577491858,2.2245098396141927,1.0488943593794189,5000,0.9,0.9,0.9,0.9,0,5000,3035.343472651959,1507.7155143764905,5417.481771905277,2885.5308561349275,1017.7498299048921,5000,0,0,0,0,0,5000,1,1,1,1,0,5000,1,1,1,1,0,5000,0,0,0,0,0,5000,0,0,0,0,0,5000
6,6.96719681038424,4.752450567779045,9.839432888099987,6.854415053151733,1.2812983440651915,10000,0.4048809968108352,0.2664138460910808,0.5457035019100477,0.4133323842175024,0.11582374179795273,10000,10.531152487065796,1.8260673221350745,17.720802515564586,14.308117892128973,6.338232048278369,10000,1,1,1,1,0,10000,0.5,0,1,0.5,0.5000250018751562,10000,0,0,0,0,0,10000,0.5,0,1,0.5,0.5000250018751562,10000,0.5,0,1,0.5,0.5000250018751562,10000
