"","Pathogen_Name","Consensus_Cluster"
"CCHF","CCHF",1
"COVID-19_A","COVID-19_A",2
"COVID-19_D","COVID-19_D",2
"COVID-19_O","COVID-19_O",2
"COVID-19_WT","COVID-19_WT",3
"Ebola","Ebola",4
"H1N1_09","H1N1_09",3
"H1N1_18","H1N1_18",3
"H2N2","H2N2",3
"H3N2","H3N2",3
"H5N1","H5N1",4
"Lassa","Lassa",5
"Marburg","Marburg",4
"MERS","MERS",4
"Mpox","Mpox",5
"Nipah","Nipah",4
"SARS","SARS",3
"Zika","Zika",1
