Pathogen_Name,Modal_Cluster,Modal_Cluster_Count
Anthrax,4,432
CCHF,5,427
COVID-19_A,7,411
COVID-19_D,2,414
COVID-19_O,6,426
COVID-19_WT,8,405
Chikungunya,1,443
Cholera,4,412
EVA71,7,409
Ebola,4,431
H1N1_09,8,405
H1N1_18,8,405
H2N2,8,405
H3N2,8,405
H5N1,9,417
HIV,9,423
Lassa,7,407
MERS,9,418
Marburg,4,431
Measles,2,417
Mpox,5,412
Nipah,4,431
Norovirus,4,412
Plague,11,403
RVFV,11,418
SARS,8,408
SFTS,2,414
Smallpox,6,411
Zika,1,444
hMPV,8,422
