Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,N_iterations_in_summary
1,3.5696698803819613,0.19449486981841718,10.677880733273025,5000
2,3.4786428076187494,0.1598510902568209,10.615505123804866,5000
3,3.4930079900095423,0.17959704296322393,10.545689357567154,5000
4,3.4933797020928465,0.18309075698181831,10.554194875910369,5000
5,3.4546559518654836,0.18765117294966796,10.488264313642148,5000
6,3.562072908015165,0.16042200434346496,10.578195332551438,5000
