Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,SI_Clust_sampled_mean,SI_Clust_sampled_lowerCI,SI_Clust_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,Presymp_Proportion_sampled_mean,Presymp_Proportion_sampled_lowerCI,Presymp_Proportion_sampled_upperCI,k_sampled_mean,k_sampled_lowerCI,k_sampled_upperCI,LatentPeriod_sampled_mean,LatentPeriod_sampled_lowerCI,LatentPeriod_sampled_upperCI,InfectiousPeriod_sampled_mean,InfectiousPeriod_sampled_lowerCI,InfectiousPeriod_sampled_upperCI,IncubationPeriod_sampled_mean,IncubationPeriod_sampled_lowerCI,IncubationPeriod_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,N_iterations_in_summary
1,2.673013716883097,0.5302990170536181,9.55923406727492,7.523913573812696,2.911225944112861,16.410744549780127,0.19448446129587366,1.9192742988295873e-4,0.6297505692420511,0.26181934,0,0.8174,1.3313499323995028,0.04292372896250063,9.050692923463489,4.966430977776639,1.6305753646999392,9.669364212811502,6.659595374668595,1.094757433461463,20.833539534581664,5.596151666474169,1.0614416312543151,20.74099559063838,0.6761,0,1,0.3238999999999999,0,1,0,0,0,0.45913333333333306,0,1,0,0,0,5000
2,2.6895870512453808,0.4470668764924299,9.80176826115609,7.502707393923841,2.903881996383425,16.128806395528105,0.193946631353927,1.963052948384509e-4,0.6292897032257825,0.263667016,0,0.8169,1.246939502958592,0.042768292309343516,8.88318648271978,4.946558655346584,1.611291602643471,9.618231785366778,6.575346620923686,1.033016185186388,20.241129962473575,5.612434061279352,1.0691325823980864,19.357206209950466,0.670876666666667,0,1,0.3291233333333333,0,1,0,0,0,0.46212333333333366,0,1,0,0,0,5000
3,2.7042331956960792,0.5047041232369952,9.830064199764383,7.508596664059116,2.8991169841860036,16.362263893360158,0.19414017731294456,1.936057840364575e-4,0.6297227378151359,0.2652634133333333,0,0.8169025,1.2856238242748734,0.04355547610067665,8.945748091671469,4.9255839465292475,1.6001630242584433,9.490538774490691,6.452362644024577,0.9868198408033695,20.323559089257934,5.542383749791542,1.0252129382555062,18.94690686879463,0.6658999999999999,0,1,0.33409999999999995,0,1,0,0,0,0.45803333333333357,0,1,0,0,0,5000
4,2.7140086059374635,0.5001292531205396,9.77304893379585,7.468906621356378,2.897263069655571,16.406049577014556,0.1953910564430535,1.937060634806545e-4,0.6296036649683,0.25725839133333334,0,0.8166,1.326628454782773,0.042454244002669256,8.99742763546554,4.954043758196525,1.6123880782696982,9.611229251153752,6.551382536448767,1.0145376465041813,20.356090069144685,5.582135342695407,1.0462323422633517,20.370707015446513,0.6794600000000002,0,1,0.3205400000000001,0,1,0,0,0,0.4511400000000001,0,1,0,0,0,5000
5,2.7376534594664546,0.5062901648873466,9.867805987914494,7.478851084244884,2.901204357566589,16.129711587956884,0.19454241832615696,1.9261544217027274e-4,0.6293295548698166,0.26506249866666665,0,0.8169,1.2819505589672873,0.04363304368437951,9.027188318846267,4.942255081907219,1.619634045708107,9.49959198118391,6.501775264000073,1.064811161540419,20.212247105136544,5.452842917355057,1.0439176577953868,18.76560318582957,0.673226666666667,0,1,0.3267733333333338,0,1,0,0,0,0.4539400000000005,0,1,0,0,0,5000
6,2.820593361953838,0.5482061045233847,9.992340219698024,7.513222514389137,2.9055641909554706,16.376875436400287,0.19621809934848805,1.9364114695909668e-4,0.6296952231799978,0.26766191666666667,0,0.8173,1.2684220344196864,0.044570683386214525,8.903667910553343,4.970020273388372,1.623133677276326,9.49746000813958,6.54536757304058,1.1204807120914204,20.287363831375668,5.478821360772701,1.0628695494098443,18.891234573809903,0.6806166666666666,0,1,0.3193833333333331,0,1,0,0,0,0.4518499999999997,0,1,0,0,0,5000
