Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,SI_Clust_sampled_mean,SI_Clust_sampled_lowerCI,SI_Clust_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,Presymp_Proportion_sampled_mean,Presymp_Proportion_sampled_lowerCI,Presymp_Proportion_sampled_upperCI,LP_sampled_mean,LP_sampled_lowerCI,LP_sampled_upperCI,IP_sampled_mean,IP_sampled_lowerCI,IP_sampled_upperCI,InfP_sampled_mean,InfP_sampled_lowerCI,InfP_sampled_upperCI,k_sampled_mean,k_sampled_lowerCI,k_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,N_iterations_in_summary
1,3.035152349365549,0.9357033436932787,9.919111541971933,7.314189805256381,2.530793546011096,15.815332106696307,0.20335516522317176,0.004445710312905219,0.6183713099026793,0.28538304,0,0.9997050000000001,5.142483898771684,2.0287763016854248,9.410119378709904,5.2098051642143455,1.4409004183236662,8.696525311206223,6.703106636317127,1.8819759928946236,21.48887904610907,1.667135607783545,0.041009904037410685,5.28412418606303,0.6809999999999999,0,1,0.31899999999999995,0,1,0,0,0,0.4464,0,1,0,0,0,500
2,3.133027635713335,1.089020161615911,10.54211576554111,7.166935263423538,2.410684695012925,15.58285740541318,0.20223528515089356,0.0026229999441110584,0.6160454694175685,0.29246842,0,0.9998,5.094552434563337,1.9907590052440152,9.412588588350655,5.045023893798862,1.4388168083661839,8.812648028482474,6.424291845605092,1.7706792324684968,19.820860193555017,1.8054342015851437,0.06883416805104728,5.636905952017684,0.6872333333333335,0,1,0.31276666666666675,0,1,0,0,0,0.41759999999999986,0,1,0,0,0,500
3,3.060384391274186,0.8671643626679042,9.66622411701224,6.961343533369149,2.482958766438437,15.313590289039876,0.18713683457625777,0.003842897830339503,0.6178356144932817,0.29749839333333333,0,0.9998,4.922659236836784,1.9859621571111385,9.367092170310926,4.992916782012435,1.4354115186758745,8.95470983332981,6.637041091987073,1.7602266159777,21.986925964086463,1.6181276064714454,0.027240422557488687,5.1372617545701775,0.7157,0,1,0.2843,0,1,0,0,0,0.4078333333333334,0,1,0,0,0,500
4,2.9090972478362263,1.0846433744632653,8.469376685552668,7.185095441554294,2.4505296055894377,15.382630824285023,0.20797918367654009,0.004628363156592892,0.6179845828081038,0.28674808,0,0.9997525,5.171407002803604,1.9858144852627038,9.406451980449877,5.212743745024044,1.4448782344068056,8.761002185413854,6.69931452724201,1.7628279033052403,19.593313723038374,1.5006389839536933,0.05660618502240832,4.8948466558390145,0.6782999999999999,0,1,0.32170000000000004,0,1,0,0,0,0.43576666666666664,0,1,0,0,0,500
