Consensus_Cluster,R0_sampled_mean_val,R0_sampled_lower_ci,R0_sampled_upper_ci,R0_sampled_median_val,R0_sampled_sd_val,R0_sampled_n_mcmc_samples_in_calc,SI_Clust_sampled_mean_val,SI_Clust_sampled_lower_ci,SI_Clust_sampled_upper_ci,SI_Clust_sampled_median_val,SI_Clust_sampled_sd_val,SI_Clust_sampled_n_mcmc_samples_in_calc,CFR_sampled_mean_val,CFR_sampled_lower_ci,CFR_sampled_upper_ci,CFR_sampled_median_val,CFR_sampled_sd_val,CFR_sampled_n_mcmc_samples_in_calc,Presymp_Proportion_sampled_mean_val,Presymp_Proportion_sampled_lower_ci,Presymp_Proportion_sampled_upper_ci,Presymp_Proportion_sampled_median_val,Presymp_Proportion_sampled_sd_val,Presymp_Proportion_sampled_n_mcmc_samples_in_calc,LP_sampled_mean_val,LP_sampled_lower_ci,LP_sampled_upper_ci,LP_sampled_median_val,LP_sampled_sd_val,LP_sampled_n_mcmc_samples_in_calc,IP_sampled_mean_val,IP_sampled_lower_ci,IP_sampled_upper_ci,IP_sampled_median_val,IP_sampled_sd_val,IP_sampled_n_mcmc_samples_in_calc,InfP_sampled_mean_val,InfP_sampled_lower_ci,InfP_sampled_upper_ci,InfP_sampled_median_val,InfP_sampled_sd_val,InfP_sampled_n_mcmc_samples_in_calc,k_sampled_mean_val,k_sampled_lower_ci,k_sampled_upper_ci,k_sampled_median_val,k_sampled_sd_val,k_sampled_n_mcmc_samples_in_calc,Route_resp_mean_val,Route_resp_lower_ci,Route_resp_upper_ci,Route_resp_median_val,Route_resp_sd_val,Route_resp_n_mcmc_samples_in_calc,Route_direct_mean_val,Route_direct_lower_ci,Route_direct_upper_ci,Route_direct_median_val,Route_direct_sd_val,Route_direct_n_mcmc_samples_in_calc,Route_sexual_mean_val,Route_sexual_lower_ci,Route_sexual_upper_ci,Route_sexual_median_val,Route_sexual_sd_val,Route_sexual_n_mcmc_samples_in_calc,Route_animal_mean_val,Route_animal_lower_ci,Route_animal_upper_ci,Route_animal_median_val,Route_animal_sd_val,Route_animal_n_mcmc_samples_in_calc,Route_vector_mean_val,Route_vector_lower_ci,Route_vector_upper_ci,Route_vector_median_val,Route_vector_sd_val,Route_vector_n_mcmc_samples_in_calc
1,5.89179716181288,2.5967829522179358,11.195877770909844,5.038791974860782,2.9175221083463216,1500,3.973419804202701,3.010412851117978,5.0381906008347634,3.884673041307937,0.6843020912083349,1500,0.014847767704738404,1.06302539586828e-4,0.03379736394417933,0.012269305249030657,0.011032809151889911,1500,0.8051359999999999,0.32159,1,0.9654,0.257357817136689,1500,4.180190658460501,2.526385899341731,5.6417801558319285,4.391985100561788,1.1419524280966216,1500,4.6474351579577835,3.278857241215817,6.598776279905659,4.628314311700287,1.0599107661885798,1500,6.590142667458996,3.6667938276397978,11.711742769683232,5.959818676020012,2.524138836001563,1500,0.450125983553888,0.09483123239992558,0.8158289394246132,0.4690600622480405,0.2099363306844408,1500,1,1,1,1,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500
2,1.9560115540217942,0.5342031685144378,4.2410931344254434,1.703425009310172,0.9925395446248264,1000,12.022224402758347,3.3637148117048206,17.714706521305743,13.946029766694027,4.389496519879107,1000,0.6072538350327447,0.578,0.6456234245639532,0.6060499016120284,0.01967160755272824,1000,0.009024,0,0.036605,0,0.014677882143695746,1000,8.734760455602686,6.05553058401028,12.27,8.174257620241882,2.3510863370322563,1000,7.674770419218966,4.7540118031312355,9.633571883443757,8.06862032520681,1.3362807412476012,1000,4.869626369683332,2.6238049088520663,8.382684156159025,3.9543116456395113,2.010346581490884,1000,0.5461533846175319,0.16130669437379988,1.0202473521731625,0.5737044660119679,0.20027360773434777,1000,0,0,0,0,0,1000,1,1,1,1,0,1000,0,0,0,0,0,1000,1,1,1,1,0,1000,0,0,0,0,0,1000
3,1.878297941253409,1.4159988525975868,2.8724927551451938,1.7335526214419978,0.4058619287984885,1000,2.7305970312466346,2.087306149063914,3.3969144630212544,2.7276079454224127,0.3378439312272194,1000,0.012722004346736038,2e-4,0.031177512129485108,0.007864760152732995,0.012771142776166493,1000,0.0678546,0,0.62163,0,0.15342919401605473,1000,2.1165430104868066,1.5099552084650296,2.9959103578995605,1.9579335065530716,0.5396236053503359,1000,1.5117080493896733,1.34,1.8857250401022514,1.34,0.19287687598622508,1000,2.1617617154661137,0.5660180758298472,4.467003037756028,1.8447921188464018,1.2748519565676595,1000,4.188745669671939,0.5326108261486197,9.90322315229363,3.2418369330895365,3.4074212390267427,1000,1,1,1,1,0,1000,0,0,0,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,1000
4,1.4820903500127183,0.49835279880101413,2.4944780522265635,1.451177965208207,0.5388571172755657,1500,9.460777438555516,3.128504273219405,15.634725160994968,9.06174133995188,3.2591136300055767,1500,0.18291218021741268,0.03272661562132461,0.4507845371944109,0.09583624377808969,0.1562544838940134,1500,0.17235093333333334,0,0.99481,0.0363,0.27000522643212466,1500,5.358273333333333,3,7,6.1033333333333335,1.7312718547146233,1500,6.334268761950382,3.9108047389952434,9.685853507727689,6.4457893574729885,1.7064630891824584,1500,10.511710964813421,3.4522918615377858,22.442060261510548,8.945335576225368,5.192850183269054,1500,0.7807957992050595,1e-5,0.8050991993425185,0.1561205700339286,7.0300738160459195,1500,0.6666666666666666,0,1,1,0.4715617342423894,1500,0.3333333333333333,0,1,0,0.4715617342423894,1500,0,0,0,0,0,1500,0.6666666666666666,0,1,1,0.4715617342423894,1500,0,0,0,0,0,1500
