"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",0,0.158,0.314,1,0.934,0.936,1,0.99,0.782,0.854
"COVID-19_O",0.158,0,0.464,1,0.922,0.924,1,1,0.9,0.952
"COVID-19_WT",0.314,0.464,0,1,0.94,0.934,0.994,0.822,0.524,0.58
"Ebola",1,1,1,0,1,1,0.102,0.682,0.902,0.956
"H1N1_09",0.934,0.922,0.94,1,0,0.01,1,1,0.948,0.768
"H1N1_18",0.936,0.924,0.934,1,0.01,0,1,1,0.946,0.762
"Marburg",1,1,0.994,0.102,1,1,0,0.752,0.808,0.934
"MERS",0.99,1,0.822,0.682,1,1,0.752,0,0.608,0.502
"Mpox",0.782,0.9,0.524,0.902,0.948,0.946,0.808,0.608,0,0.38
"SARS",0.854,0.952,0.58,0.956,0.768,0.762,0.934,0.502,0.38,0
