Consensus_Cluster,R0_sampled_mean_val,R0_sampled_lower_ci,R0_sampled_upper_ci,R0_sampled_median_val,R0_sampled_sd_val,R0_sampled_n_mcmc_samples_in_calc,CFR_sampled_mean_val,CFR_sampled_lower_ci,CFR_sampled_upper_ci,CFR_sampled_median_val,CFR_sampled_sd_val,CFR_sampled_n_mcmc_samples_in_calc,IP_sampled_mean_val,IP_sampled_lower_ci,IP_sampled_upper_ci,IP_sampled_median_val,IP_sampled_sd_val,IP_sampled_n_mcmc_samples_in_calc,Route_resp_mean_val,Route_resp_lower_ci,Route_resp_upper_ci,Route_resp_median_val,Route_resp_sd_val,Route_resp_n_mcmc_samples_in_calc,Route_direct_mean_val,Route_direct_lower_ci,Route_direct_upper_ci,Route_direct_median_val,Route_direct_sd_val,Route_direct_n_mcmc_samples_in_calc,Route_sexual_mean_val,Route_sexual_lower_ci,Route_sexual_upper_ci,Route_sexual_median_val,Route_sexual_sd_val,Route_sexual_n_mcmc_samples_in_calc,Route_animal_mean_val,Route_animal_lower_ci,Route_animal_upper_ci,Route_animal_median_val,Route_animal_sd_val,Route_animal_n_mcmc_samples_in_calc,Route_vector_mean_val,Route_vector_lower_ci,Route_vector_upper_ci,Route_vector_median_val,Route_vector_sd_val,Route_vector_n_mcmc_samples_in_calc
1,1.8051137874916077,1e-5,8.429331254264495,0.7879153714251189,2.793198745993721,4000,0.511753158956271,0.3014754745192536,0.7475001263471112,0.5188025630075412,0.12235594376025619,4000,8.887649391872358,3.7854025490643286,17.301135407415025,7.995930092292514,3.8433284594914046,4000,0.5,0,1,0.5,0.500062511721192,4000,0.75,0,1,1,0.43306683863080586,4000,0,0,0,0,0,4000,0.875,0,1,1,0.3307602615001489,4000,0,0,0,0,0,4000
2,0.03312273442912705,0.003922556994446943,0.08324585061381176,0.028016379281832426,0.022671932708040222,500,0.23444558077974859,0.11359599644680655,0.4048286533728498,0.2261582531812282,0.08033437125221271,500,5.63854795244485,5.300383757681442,6.019086590151856,5.643148722202495,0.17543403646090494,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500,1,1,1,1,0,500,1,1,1,1,0,500
3,0.9196583992911885,1e-5,2.3412538558368676,0.8,0.882008446340287,3000,0.03426864525898498,2.4227310404838264e-38,0.10885525687971292,0.020197258597786337,0.039146912335577315,3000,4.8167512141254365,0.8814487807891092,11.216268624846537,4.431011719187809,3.6688697752431736,3000,0,0,0,0,0,3000,0.6666666666666666,0,1,1,0.4714831078584695,3000,0.16666666666666666,0,1,0,0.37274012478190044,3000,0.16666666666666666,0,1,0,0.37274012478190044,3000,0.5,0,1,0.5,0.5000833541724554,3000
4,2.849937159184834,1.2,7.283048641646561,1.979218955999247,1.7612927377558638,5000,0.028635171309387048,2e-4,0.09780426036391794,0.020224689239727617,0.025090163824135727,5000,3.7479120126926313,1.34,6.993511447992532,4.335480995370096,1.8579797710921486,5000,1,1,1,1,0,5000,0.2,0,1,0,0.40004000600098993,5000,0,0,0,0,0,5000,0,0,0,0,0,5000,0,0,0,0,0,5000
5,9.51452546745696,7.358632659162259,11.859450010223926,9.499794300030885,1.1522025458667662,500,0.0037385705311496005,1.4132147522425193e-8,0.0071377840354258475,0.0035482994003595506,0.0024704170789577513,500,3.508464097707548,3.3131686720497084,3.8037458741044112,3.4816056304387404,0.13744836076221414,500,1,1,1,1,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500
6,2.6081256800503247,1.0040671744224179,4.881951395409908,2.4527583641949686,1.0365736627403128,500,0.9,0.9,0.9,0.9,0,500,3139.480999297178,1469.2247698676938,5394.120680673077,2997.1795817882553,1023.1295030355955,500,0,0,0,0,0,500,1,1,1,1,0,500,1,1,1,1,0,500,0,0,0,0,0,500,0,0,0,0,0,500
7,19.943237698673556,4.659931006235762,43.893119094520095,18.151795284065354,10.585807023721186,500,0.01320119108566861,0.0127571965276508,0.013596339921813392,0.013208867606641906,2.1235398956631466e-4,500,13.04445090532718,7.441971726905854,19.551694674738307,12.92468933290353,3.2258876390588593,500,1,1,1,1,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500
8,7.187028931219406,5.183917281554768,9.251391659749668,7.168065659185986,1.0751624456222235,500,0.29160898038814564,0.22485330499653203,0.3761588757675289,0.28972124684162803,0.03900195158167114,500,3.3824409382113445,0.8594173761457198,7.265857000859571,3.1515421508295587,1.8486823151015286,500,1,1,1,1,0,500,0,0,0,0,0,500,0,0,0,0,0,500,1,1,1,1,0,500,1,1,1,1,0,500
9,1e-5,1e-5,1e-5,1e-5,0,500,0.27197920288410965,0.07061456340956002,0.5033716311104686,0.26807997156749197,0.11494702113809029,500,4.1171526109200585,3.415746126905292,4.900441733544783,4.124907828618924,0.38904046786689794,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,1,1,1,1,0,500
