"K","Average_Silhouette_Width"
2,0.401971981910485
3,0.678388860725791
4,0.637432314779228
5,0.616814012875019
6,0.584272254858593
7,0.704102992866197
8,0.703586791321038
9,0.713675919719028
10,0.674702769057825
