k,avg_sil_width
2,0.2689975353499839
3,0.27101305259763414
4,0.32926866897565493
5,0.37855689678538684
6,0.3913343425425064
7,0.40412875951192473
8,0.41982979673273685
9,0.4299321401962376
10,0.4368761621030588
11,0.45689569154176024
12,0.4836043566896203
13,0.48440415008737786
14,0.4743017153189788
15,0.4748450462866091
