Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,SI_Clust_sampled_mean,SI_Clust_sampled_lowerCI,SI_Clust_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,k_sampled_mean,k_sampled_lowerCI,k_sampled_upperCI,LatentPeriod_sampled_mean,LatentPeriod_sampled_lowerCI,LatentPeriod_sampled_upperCI,InfectiousPeriod_sampled_mean,InfectiousPeriod_sampled_lowerCI,InfectiousPeriod_sampled_upperCI,IncubationPeriod_sampled_mean,IncubationPeriod_sampled_lowerCI,IncubationPeriod_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,N_iterations_in_summary
1,2.8054416106990163,0.37864041771770907,10.32121909695749,7.579284469625151,2.9304030849343228,16.56007598761212,0.20368526480780574,1.8402570069014438e-4,0.6302274945703588,1.4384463250051505,0.041510872364834125,9.12440330950236,4.996324852189843,2.0230533326924127,9.721038289956066,6.6065844880171,1.8603263558666836,20.380086582042214,5.574825449082026,1.0480756917981824,20.1030413572635,0.6773499999999997,0,1,0.3226500000000002,0,1,0,0,0,0.46945000000000037,0,1,0,0,0,5000
2,2.740843502898512,0.40879930766851164,10.299422679742168,7.691806653482913,2.920845767053155,16.557806413660916,0.20377303371180755,1.8611498378981193e-4,0.6303015278092724,1.3601796212706576,0.040892443039308106,8.88311258884969,5.022166889572298,1.991384557778799,9.757773729443151,6.636015315552635,1.844243459332802,20.099079105680854,5.7294010478289845,1.0450065531811685,19.91896805771207,0.6674,0,1,0.3326000000000002,0,1,0,0,0,0.4779166666666666,0,1,0,0,0,5000
3,2.7005293045021443,0.39803559161449875,10.253304394662678,7.667592670587966,2.908107641284999,16.48162806409427,0.20750090599926038,1.8599378581267884e-4,0.6304703754501931,1.4430913875751705,0.039933351030353004,9.00579399506109,5.019000029063368,1.9935537230999147,9.77830917970436,6.645808901025606,1.8372821628789975,20.337281186857666,5.5516783925946385,1.0209635068215013,19.587501139569866,0.6708400000000001,0,1,0.32915999999999984,0,1,0,0,0,0.4810600000000001,0,1,0,0,0,5000
4,2.758904255766801,0.40809413814141154,10.53784139459504,7.685857601864224,2.919491727398248,16.525782981426577,0.210134667604639,1.8632945016508595e-4,0.630671065224049,1.3727242245376114,0.040784387244854746,8.972757354249852,5.062045219378655,2.010569360783915,9.764445203626952,6.657295558486873,1.8125250939214546,20.465029470817026,5.565444116980576,1.0645540330794891,19.84410262902911,0.6690266666666667,0,1,0.3309733333333335,0,1,0,0,0,0.4794066666666668,0,1,0,0,0,5000
5,2.710019369487224,0.47037332773550317,10.359266547409613,7.676491285205749,2.9140025981744366,16.662055140607173,0.20827124216099796,1.8523304464669607e-4,0.6309654417595866,1.4450694094643284,0.04257300476940161,8.998981947460575,5.037993253636718,2.0221425474959855,9.748003626802594,6.606300669078181,1.9159036799904894,20.636140030092236,5.537985339849789,1.0499621753492896,19.703321505602485,0.6702533333333341,0,1,0.3297466666666674,0,1,0,0,0,0.47311333333333305,0,1,0,0,0,5000
6,2.8006723515205607,0.40234997886820284,10.31779285288935,7.587436576381656,2.915063377382348,16.501751332364144,0.2030326199083214,1.8543768076046747e-4,0.6306249022253156,1.3987003557895858,0.04082172255388619,8.934754533604073,4.995345173892473,2.007432706647259,9.723908200804482,6.577567264647134,1.797306530605109,20.580064800803168,5.391735839087559,1.02657390329524,18.603616922977583,0.6798266666666665,0,1,0.3201733333333334,0,1,0,0,0,0.4631733333333331,0,1,0,0,0,5000
