Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,SI_Clust_sampled_mean,SI_Clust_sampled_lowerCI,SI_Clust_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,k_sampled_mean,k_sampled_lowerCI,k_sampled_upperCI,IP_sampled_mean,IP_sampled_lowerCI,IP_sampled_upperCI,LP_sampled_mean,LP_sampled_lowerCI,LP_sampled_upperCI,InfP_sampled_mean,InfP_sampled_lowerCI,InfP_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,N_iterations_in_summary
1,3.0873428917130217,0.7709601257762172,10.840152238683721,7.410953564044756,2.479520566232762,16.023225326860953,0.20463544453959892,0.0034465516430786007,0.6499763735766648,1.6597545271153216,0.025211134072609054,5.421028488976849,5.2828051795919695,1.460160532576623,9.433652394659823,5.045271342853586,2.0531214930675863,9.5573410524038,6.944142648227913,1.7042252456572051,20.914367794770136,0.6915333333333333,0,1,0.30846666666666667,0,1,0,0,0,0.47070000000000006,0,1,0,0,0,500
2,2.934402913197762,0.6690442019115509,10.466186233985955,7.614423424933251,2.4373955922868316,15.970756684065037,0.23628888905783715,0.0035892073309644716,0.6846349353484085,2.3530350244052816,0.021777730710229537,5.563886452986733,5.473471633763246,1.4631446798759713,8.981642096010408,5.453155335712899,2.0393058984371333,10.836645323458765,7.060265969242974,1.8368099279126906,21.68599620158463,0.6449666666666666,0,1,0.35503333333333337,0,1,0,0,0,0.5130666666666666,0,1,0,0,0,500
3,2.927788631808807,0.7590695348673665,10.270570343658186,7.769255890189746,2.5821828793001833,16.718052576716808,0.23969707079620603,0.0037947056831802253,0.678410437386854,1.5488657426893315,0.02755383269951838,5.1761323815428595,5.618836899833866,1.4695116477003523,9.960686085991622,5.483137876277474,2.08056375007067,12.27,6.74161991639258,1.8939971795176984,20.93147502319095,0.6124666666666668,0,1,0.3875333333333333,0,1,0,0,0,0.5186,0,1,0,0,0,500
4,3.0453014226492714,0.6312520108029769,10.665156940565527,7.566636901209205,2.507272530012731,15.820746033811822,0.2291891217866539,0.0035040510075058473,0.6678928063525855,1.3268021967377108,0.027088021379658142,5.0644034611591024,5.601061045015435,1.4742560196221959,9.020850297085886,5.480298473747678,2.0944051561009007,10.126195112191931,7.091456624036953,1.9509209973743034,20.994301452860945,0.6421666666666667,0,1,0.3578333333333332,0,1,0,0,0,0.5023000000000001,0,1,0,0,0,500
