Consensus_Cluster,R0_sampled_mean_val,R0_sampled_lower_ci,R0_sampled_upper_ci,R0_sampled_median_val,R0_sampled_sd_val,R0_sampled_n_mcmc_samples_in_calc,SI_Clust_sampled_mean_val,SI_Clust_sampled_lower_ci,SI_Clust_sampled_upper_ci,SI_Clust_sampled_median_val,SI_Clust_sampled_sd_val,SI_Clust_sampled_n_mcmc_samples_in_calc,CFR_sampled_mean_val,CFR_sampled_lower_ci,CFR_sampled_upper_ci,CFR_sampled_median_val,CFR_sampled_sd_val,CFR_sampled_n_mcmc_samples_in_calc,Presymp_Proportion_sampled_mean_val,Presymp_Proportion_sampled_lower_ci,Presymp_Proportion_sampled_upper_ci,Presymp_Proportion_sampled_median_val,Presymp_Proportion_sampled_sd_val,Presymp_Proportion_sampled_n_mcmc_samples_in_calc,k_sampled_mean_val,k_sampled_lower_ci,k_sampled_upper_ci,k_sampled_median_val,k_sampled_sd_val,k_sampled_n_mcmc_samples_in_calc,LatentPeriod_sampled_mean_val,LatentPeriod_sampled_lower_ci,LatentPeriod_sampled_upper_ci,LatentPeriod_sampled_median_val,LatentPeriod_sampled_sd_val,LatentPeriod_sampled_n_mcmc_samples_in_calc,InfectiousPeriod_sampled_mean_val,InfectiousPeriod_sampled_lower_ci,InfectiousPeriod_sampled_upper_ci,InfectiousPeriod_sampled_median_val,InfectiousPeriod_sampled_sd_val,InfectiousPeriod_sampled_n_mcmc_samples_in_calc,IncubationPeriod_sampled_mean_val,IncubationPeriod_sampled_lower_ci,IncubationPeriod_sampled_upper_ci,IncubationPeriod_sampled_median_val,IncubationPeriod_sampled_sd_val,IncubationPeriod_sampled_n_mcmc_samples_in_calc,Route_resp_mean_val,Route_resp_lower_ci,Route_resp_upper_ci,Route_resp_median_val,Route_resp_sd_val,Route_resp_n_mcmc_samples_in_calc,Route_direct_mean_val,Route_direct_lower_ci,Route_direct_upper_ci,Route_direct_median_val,Route_direct_sd_val,Route_direct_n_mcmc_samples_in_calc,Route_sexual_mean_val,Route_sexual_lower_ci,Route_sexual_upper_ci,Route_sexual_median_val,Route_sexual_sd_val,Route_sexual_n_mcmc_samples_in_calc,Route_animal_mean_val,Route_animal_lower_ci,Route_animal_upper_ci,Route_animal_median_val,Route_animal_sd_val,Route_animal_n_mcmc_samples_in_calc,Route_vector_mean_val,Route_vector_lower_ci,Route_vector_upper_ci,Route_vector_median_val,Route_vector_sd_val,Route_vector_n_mcmc_samples_in_calc
1,5.7456507521745985,1.7843327756022758,14.188400607634787,4.789610046091136,3.4314679856677937,1500,3.983372947856413,3.0132077668853743,5.077308945710207,4.165075345868191,0.7023024465449473,1500,0.015029211387803679,0,0.05691918557002129,0.007174599915732032,0.014807667546025196,1500,0.8504053333333333,0,1,0.9942,0.30430523188786074,1500,0.45100090827831224,0.08368450141824131,0.8849214175635827,0.46206020966995054,0.2461031732200479,1500,4.170152751485925,2.4368758637386345,5.824202734608146,4.401200978798764,1.1550770903072796,1500,6.4389605755426675,0.7187784251059861,16.12566082781854,5.324455967419931,3.675558793039085,1500,4.525556921368109,3.1303869827812596,6.940760876356887,4.35878341998721,1.1165105486811078,1500,1,1,1,1,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500
2,1.967722160631718,0.21700975696822825,9.16021037648293,1.6095081615030544,1.9108722580308302,1000,12.1366838570962,2.1758938598266173,18.987455101087768,13.295260564768483,4.456108782098298,1000,0.6061388222785306,0.4458740877062564,0.8062473228726893,0.5991602932157312,0.08693726551433184,1000,0.092751,0,0.332,0.0117,0.13956093469697525,1000,0.5956162621221114,0.053058859436906324,2.342252968851997,0.5662794698651041,0.5398187297428569,1000,8.10549981015919,6.107273838347635,11.65054507019353,7.120616284180176,1.8162202322663712,1000,4.553193839156338,1.3122931389818089,12.130435777005196,3.330703631481118,2.6933306765747527,1000,7.748852730831946,3.813924552567889,10.319835389390345,8.138070517322895,1.5611209190490885,1000,0,0,0,0,0,1000,1,1,1,1,0,1000,0,0,0,0,0,1000,1,1,1,1,0,1000,0,0,0,0,0,1000
3,1.8010933029521936,0,4.208972454619084,1.7700194052769418,0.9335606339791097,2000,5.660686703772505,1.2598156688753313,14.994266599419692,3.7422768784290863,3.8943964064889727,2000,0.043575679025859494,1.6325338483104456e-4,0.10399211230096951,0.027020072407802916,0.04031610030671584,2000,0.16878579999999999,0,0.9976599999999998,0.0917,0.2602225570698369,2000,2.2188655707720604,0.08620696456020897,9.235545133158455,0.5882880264977788,3.0915131454667013,2000,2.121420022503694,1.5250515980767,2.9938784740831603,1.8741133393745761,0.5430714022191088,1000,3.3896327877208026,0.5992083259232351,6.8302150147852805,3.330447400462675,1.861769736361515,2000,4.848045079004179,0.9841999544729175,14.065091866534747,4.159877005424159,4.127529337371676,1500,0.75,0,1,1,0.43312099567955514,2000,0.25,0,1,0,0.43312099567955514,2000,0,0,0,0,0,2000,0.25,0,1,0,0.43312099567955514,2000,0,0,0,0,0,2000
4,1.2556916358304104,0.07540335397921695,5.7723791668738755,0.716766073865445,1.6466476453590058,500,11.918850122588866,0.7968677334145553,16.755431446362067,12.714600044196814,3.9923820768225307,500,0.39960310391449244,0.17832980051805641,0.6515459385429552,0.3996660227991163,0.11328621052716394,500,0.008855487804878047,0,0.0694,0,0.019299448592363246,328,6.051123725201406,0,46.911316526848566,0.06088374714050194,13.160680747572167,500,NA,NA,NA,NA,NA,0,16.40046190610429,8.49777707740251,24.695971520662873,16.32804602753486,3.901242856961428,500,6.401887049896518,1.1041801882220663,11.295468860904325,6.610753602652055,2.0693361521514166,500,1,1,1,1,0,500,0,0,0,0,0,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500
