K,Average_Silhouette_Width
2,0.22590269527093357
3,0.23784254364547855
4,0.36584723186554435
5,0.3897586450111486
6,0.3123899370551204
7,0.308757757214895
8,0.20362697250664546
9,0.14555657652927276
