"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",0,0.386,0.43,1,0.972,0.96,1,1,0.962,0.98
"COVID-19_O",0.386,0,0.74,1,0.99,0.976,1,1,0.992,0.996
"COVID-19_WT",0.43,0.74,0,1,0.948,0.914,1,0.972,0.896,0.742
"Ebola",1,1,1,0,1,1,0.446,0.994,0.998,1
"H1N1_09",0.972,0.99,0.948,1,0,0.15,1,1,0.972,0.586
"H1N1_18",0.96,0.976,0.914,1,0.15,0,0.998,1,0.956,0.52
"Marburg",1,1,1,0.446,1,0.998,0,0.984,0.892,0.988
"MERS",1,1,0.972,0.994,1,1,0.984,0,0.974,0.948
"Mpox",0.962,0.992,0.896,0.998,0.972,0.956,0.892,0.974,0,0.734
"SARS",0.98,0.996,0.742,1,0.586,0.52,0.988,0.948,0.734,0
