"K","Average_Silhouette_Width"
2,0.422560305697178
3,0.614097970668974
4,0.74528300734435
5,0.694875470773121
6,0.672083055084296
7,0.638850619548333
8,0.604582481760859
9,0.532872901406466
10,0.433941912802606
