Pathogen_Name,Modal_Cluster,Modal_Cluster_Count
COVID-19_D,2,98
COVID-19_O,2,96
COVID-19_WT,3,93
Ebola,2,87
H1N1_09,6,103
H1N1_18,1,98
MERS,5,96
Marburg,4,93
Mpox,4,99
SARS,2,95
