"","Pathogen_Name","Consensus_Cluster"
"COVID-19_D","COVID-19_D",1
"COVID-19_O","COVID-19_O",1
"COVID-19_WT","COVID-19_WT",1
"Ebola","Ebola",2
"H1N1_09","H1N1_09",1
"H1N1_18","H1N1_18",1
"Marburg","Marburg",2
"MERS","MERS",3
"Mpox","Mpox",4
"SARS","SARS",1
