"","Pathogen_Name","Consensus_Cluster"
"COVID-19_D","COVID-19_D",1
"COVID-19_O","COVID-19_O",2
"COVID-19_WT","COVID-19_WT",1
"Ebola","Ebola",3
"H1N1_09","H1N1_09",4
"H1N1_18","H1N1_18",4
"Marburg","Marburg",3
"MERS","MERS",5
"Mpox","Mpox",6
"SARS","SARS",1
