Consensus_Cluster,R0_sampled_mean_val,R0_sampled_lower_ci,R0_sampled_upper_ci,R0_sampled_median_val,R0_sampled_sd_val,R0_sampled_n_mcmc_samples_in_calc,SI_Clust_sampled_mean_val,SI_Clust_sampled_lower_ci,SI_Clust_sampled_upper_ci,SI_Clust_sampled_median_val,SI_Clust_sampled_sd_val,SI_Clust_sampled_n_mcmc_samples_in_calc,CFR_sampled_mean_val,CFR_sampled_lower_ci,CFR_sampled_upper_ci,CFR_sampled_median_val,CFR_sampled_sd_val,CFR_sampled_n_mcmc_samples_in_calc,k_sampled_mean_val,k_sampled_lower_ci,k_sampled_upper_ci,k_sampled_median_val,k_sampled_sd_val,k_sampled_n_mcmc_samples_in_calc,LatentPeriod_sampled_mean_val,LatentPeriod_sampled_lower_ci,LatentPeriod_sampled_upper_ci,LatentPeriod_sampled_median_val,LatentPeriod_sampled_sd_val,LatentPeriod_sampled_n_mcmc_samples_in_calc,InfectiousPeriod_sampled_mean_val,InfectiousPeriod_sampled_lower_ci,InfectiousPeriod_sampled_upper_ci,InfectiousPeriod_sampled_median_val,InfectiousPeriod_sampled_sd_val,InfectiousPeriod_sampled_n_mcmc_samples_in_calc,IncubationPeriod_sampled_mean_val,IncubationPeriod_sampled_lower_ci,IncubationPeriod_sampled_upper_ci,IncubationPeriod_sampled_median_val,IncubationPeriod_sampled_sd_val,IncubationPeriod_sampled_n_mcmc_samples_in_calc,Route_resp_mean_val,Route_resp_lower_ci,Route_resp_upper_ci,Route_resp_median_val,Route_resp_sd_val,Route_resp_n_mcmc_samples_in_calc,Route_direct_mean_val,Route_direct_lower_ci,Route_direct_upper_ci,Route_direct_median_val,Route_direct_sd_val,Route_direct_n_mcmc_samples_in_calc,Route_sexual_mean_val,Route_sexual_lower_ci,Route_sexual_upper_ci,Route_sexual_median_val,Route_sexual_sd_val,Route_sexual_n_mcmc_samples_in_calc,Route_animal_mean_val,Route_animal_lower_ci,Route_animal_upper_ci,Route_animal_median_val,Route_animal_sd_val,Route_animal_n_mcmc_samples_in_calc,Route_vector_mean_val,Route_vector_lower_ci,Route_vector_upper_ci,Route_vector_median_val,Route_vector_sd_val,Route_vector_n_mcmc_samples_in_calc
1,3.276266512074966,0,7.0513227442730955,3.021745510409676,1.8143620726299634,1500,5.684816397953577,2.28342949558088,14.084455893388924,4.713630951736573,3.085592740369608,1500,0.046002496969848004,0.0021470505061592267,0.10091120730191341,0.02665388951506462,0.03748434804019565,1500,0.4497148316735247,0.1477994724427217,0.8918497770161232,0.44963226625839836,0.23946342347277141,1500,4.911190731681014,4.222765549302086,5.901201882317999,4.607773068129905,0.5746998592059819,1000,6.928835198486187,1.330048957366643,16.72095783239141,6.022609027296081,3.6297593330250555,1500,4.858787764515383,3.7813268878186506,6.979864351231402,4.572839837008561,0.896699051987115,1500,1,1,1,1,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500,0,0,0,0,0,1500
2,9.66657606169129,3.148583091524964,16.201307396263836,9.716491810835485,3.4142961975144623,500,3.1972710289579065,2.927635618681988,3.4674290851395524,3.190690323751617,0.1446146451769035,500,0.0038882622017233272,0,0.007249793492691473,0.005623881417519658,0.003196904782764097,500,0.20790039129787408,0.07614922846800565,0.49240042250530225,0.11837026787729094,0.1341574222705643,500,2.6845389040596817,2.3628610413011337,3.289976441065255,2.5891569763244435,0.25857240267768716,500,4.011360805833841,2.6533736533617773,5.4576916517378065,4.011851472966987,0.7127662415496133,500,3.4041153105388715,2.9668941039582766,3.9892001588989654,3.380006919494476,0.23126628320251208,500,1,1,1,1,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500
3,2.0152120501967445,0.1764861813605701,9.667247730656667,1.602896495448237,2.0066578212206294,1000,11.89474424456472,1.8387148063640888,18.769704816463758,12.952356349586271,4.57232090430073,1000,0.6048949499634338,0.4442091052181948,0.7930060182483943,0.6020563721262667,0.08571106713659624,1000,0.5861104771659983,0.04531495002418026,2.3374996470202825,0.5700338688285178,0.5195263297274668,1000,8.154815375508882,6.1209324640903855,11.903065521351055,7.038391571088111,1.8668372938686322,1000,4.453515024548799,1.1009166374793469,11.70360570112063,3.312530591377491,2.5971273824826326,1000,7.842617849475347,4.035303648793482,10.824388655981194,8.18950747259747,1.5357187673629626,1000,0,0,0,0,0,1000,1,1,1,1,0,1000,0,0,0,0,0,1000,1,1,1,1,0,1000,0,0,0,0,0,1000
4,1.922059757284921,0.8144868912904257,4.985041082823682,1.6787990658685819,0.9991487740791628,1000,2.75825672214953,1.4401057688754582,4.039518791750337,2.842593564666792,0.7401205680417315,1000,0.012614346372224918,1.68461506996262e-4,0.0336349780477609,0.0032460538280242035,0.012989884375473616,1000,4.193473495212022,0.47511311060285427,9.521404772478244,2.6026823802072485,3.3921523657084007,1000,2.1048557219621373,1.518814202167837,2.948114441074717,1.851841898806128,0.5307149849687415,1000,2.176528391457842,0.4851052300074761,4.536880576094564,1.762703731845459,1.2956449866993232,1000,1.6633969036645182,1.0933148474435705,2.083197937453531,1.6602661700993742,0.2622540252349254,500,1,1,1,1,0,1000,0,0,0,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,1000
5,1.3643175652174888,0.08668910508166269,5.749624967680155,0.7337152955738069,1.7741522406190182,500,11.624240780182493,0,17.199883533363206,12.738030493879158,4.373550622176507,500,0.39045659294058543,0.18362919679492926,0.615222243369554,0.38963464974273243,0.11423222664158472,500,5.680898956627735,0,44.36650691648633,0.06334550942564487,12.353181990878472,500,NA,NA,NA,NA,NA,0,16.2586626446751,8.997695482517162,23.962789057426512,16.103030805792933,3.923040568593658,500,6.5357595834461195,2.0756595200078776,11.129535209634964,6.708084631389551,1.9302268222129824,500,1,1,1,1,0,500,0,0,0,0,0,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500
6,1.797199584817614,1.699581328958864,1.9015858678995836,1.7939766928217575,0.05025739221681992,500,8.648108485273623,3.8720225815091682,14.410435734626812,8.422608985644462,2.1527717538695135,500,0.04894284215522868,0,0.11349667953850767,0.043254144659530716,0.035681883059903566,500,0.32831175942732443,0,0.9656382160622057,0.30223265426789603,0.2339721394720729,500,NA,NA,NA,NA,NA,0,4.183688723803224,1.5006809248388144,7.490146524609179,3.5366921765833323,1.8867344292761221,500,8.717323627228375,0,20.70428934201866,7.878858705336814,4.565150676415382,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500,1,1,1,1,0,500,0,0,0,0,0,500
