"","Pathogen_Name","Consensus_Cluster"
"COVID-19_D","COVID-19_D",1
"COVID-19_O","COVID-19_O",2
"COVID-19_WT","COVID-19_WT",3
"Ebola","Ebola",4
"H1N1_09","H1N1_09",5
"H1N1_18","H1N1_18",5
"Marburg","Marburg",6
"MERS","MERS",7
"Mpox","Mpox",8
"SARS","SARS",3
