"","Pathogen_Name","Consensus_Cluster"
"COVID-19_D","COVID-19_D",1
"COVID-19_O","COVID-19_O",2
"COVID-19_WT","COVID-19_WT",1
"Ebola","Ebola",3
"H1N1_09","H1N1_09",4
"H1N1_18","H1N1_18",4
"Marburg","Marburg",5
"MERS","MERS",6
"Mpox","Mpox",7
"SARS","SARS",1
