K,Average_Silhouette_Width
2,0.43153072549734145
3,0.5538496922116044
4,0.7149787097680431
5,0.7490889934477588
6,0.7614460799917869
7,0.7364543368775853
8,0.7002304392311667
9,0.7120577698141545
10,0.6773796319413207
