K,Average_Silhouette_Width
2,0.27492842105263154
3,0.3892143334140544
4,0.5054292801501044
5,0.6361515215142812
6,0.7780210854059508
7,0.8225175913386255
8,0.7839378976206303
9,0.7740845575275314
10,0.6760643868823392
