K,Average_Silhouette_Width
2,0.42942996211569195
3,0.551518716775954
4,0.7118007905718093
5,0.7447821059313846
6,0.7579307961098212
7,0.7310984922302158
8,0.6945881760194829
9,0.7092581621226067
10,0.6768943477230142
